Page,Fund Name,Category,Type,AUM,Rating,1Y Return,3Y Return,5Y Return,Expense Ratio
1,Mirae Asset NYSE FANG+ ETF FoF Fund Direct - Growth,Other,FoFs Domestic,"₹ 2,463.40",NA,56.84%,67.54%,0.00%,0.71%
1,DSP World Gold Mining Overseas Equity Omni FoF Fund Direct - Growth,Other,FoFs Overseas,"₹ 1,497.73",NA,124.63%,44.66%,18.32%,1.64%
1,Mirae Asset S&P 500 Top 50 ETF FoF Fund Direct - Growth,Other,FoFs Domestic,₹ 780.76,NA,44.44%,39.35%,0.00%,0.69%
1,Nippon India Taiwan Equity Fund Direct - Growth,Equity,Sectoral / Thematic,₹ 421.51,NA,44.70%,37.91%,0.00%,1.04%
1,Mirae Asset Global X Artificial Intelligence & Technology ETF FoF Fund Direct - Growth,Other,FoFs Overseas,₹ 406.86,NA,37.13%,37.72%,0.00%,0.94%
1,Motilal Oswal NASDAQ 100 FOF Fund Direct - Growth,Other,FoFs Overseas,"₹ 6,634.95",NA,34.58%,36.21%,21.50%,0.79%
1,HDFC Silver ETF FoF Fund Direct - Growth,Other,FoFs Domestic,"₹ 1,547.86",NA,79.61%,35.64%,0.00%,0.23%
1,Aditya Birla Sun Life Silver ETF FoF Fund Direct - Growth,Other,FoFs Domestic,₹ 639.90,NA,79.36%,35.42%,0.00%,0.65%
1,Edelweiss US Technology Equity FoF Fund Direct - Growth,Other,FoFs Overseas,"₹ 3,866.30",NA,23.96%,35.40%,16.25%,1.51%
1,Nippon India Silver ETF FoF Fund Direct - Growth,Other,FoFs Domestic,"₹ 2,217.00",NA,80.01%,35.39%,0.00%,0.83%
2,ICICI Prudential Silver ETF FoF Fund Direct - Growth,Other,FoFs Domestic,"₹ 3,495.64",NA,79.26%,35.38%,0.00%,0.52%
2,Axis Silver FoF Fund Direct - Growth,Other,FoFs Domestic,₹ 420.69,NA,78.26%,35.27%,0.00%,0.16%
2,Motilal Oswal BSE Enhanced Value Index Fund Direct - Growth,Other,Index Fund,"₹ 1,037.84",NA,19.40%,35.02%,0.00%,0.40%
2,Edelweiss Gold and Silver ETF FoF Fund Direct - Growth,Other,FoFs Domestic,"₹ 1,141.73",NA,73.66%,34.02%,0.00%,0.23%
2,Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF Fund Direct - Growth,Other,FoFs Overseas,₹ 440.33,NA,25.82%,33.29%,0.00%,0.16%
2,Bandhan Small Cap Fund Direct - Growth,Equity,Small Cap Fund,"₹ 17,380.30",5,8.48%,33.02%,31.77%,0.41%
2,Navi US NASDAQ 100 FoF Fund Direct - Growth,Other,FoFs Overseas,"₹ 1,151.02",NA,25.95%,32.96%,0.00%,0.16%
2,Kotak US Specific Equity Passive FoF Fund Direct - Growth,Other,FoFs Overseas,"₹ 3,882.52",NA,25.41%,32.88%,0.00%,0.55%
2,Motilal Oswal Gold and Silver ETFs FoF Fund Direct - Growth,Other,FoFs Domestic,"₹ 1,101.50",NA,70.78%,32.85%,0.00%,0.70%
2,ICICI Prudential NASDAQ 100 Index Fund Direct - Growth,Other,Index Fund,"₹ 2,664.76",NA,25.96%,32.67%,0.00%,0.61%
3,UTI Gold ETF FoF Fund Direct - Growth,Other,FoFs Domestic,₹ 608.97,NA,67.92%,32.63%,0.00%,0.19%
3,Aditya Birla Sun Life US Equity Passive FoF Fund Direct - Growth,Other,FoFs Overseas,₹ 464.25,NA,25.50%,32.54%,0.00%,0.56%
3,LIC MF Gold ETF FoF Fund Direct - Growth,Other,FoFs Domestic,₹ 464.76,NA,68.10%,32.54%,19.03%,0.32%
3,Quantum Gold Savings Fund Direct - Growth,Other,FoFs Domestic,₹ 328.87,NA,68.37%,32.36%,18.52%,0.59%
3,SBI Gold Fund Direct - Growth,Other,FoFs Domestic,"₹ 8,456.78",NA,67.64%,32.35%,18.66%,0.10%
